date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2023-11-16,0.11296462,-0.04000897,0.048820674,-0.034757793,0.025754541,-0.063371316,0.08206527,-0.050484724,0.040212516,-0.018985704
2023-11-17,0.15255019,-0.021186985,0.029113673,-0.08809799,0.042829037,0.030774623,0.03703092,-0.030000344,0.041824695,-0.039091974
2023-11-20,0.13327971,0.2026951,0.15948704,-0.17538258,-0.07486172,0.06279957,-0.07590291,-0.08635821,0.028383132,0.031479686
2023-11-21,0.1347655,-0.05949969,-0.07170624,0.114592314,0.0676073,-0.04757531,0.06643373,-0.021218382,0.0076880166,-0.07016168
2023-11-22,0.064134024,-0.028728269,0.1751279,-0.09893295,0.059674174,-0.054439172,-0.01258117,-0.007886001,0.023961402,-0.10888459
2023-11-24,0.024257284,0.1132301,0.09230031,0.010695219,0.10362214,0.040656418,-0.105697736,-0.050150566,-0.04908832,-0.042278618
2023-11-27,0.18957266,-0.02794931,-0.075090535,0.12964845,0.06474741,0.023446798,0.017802611,0.031030238,-0.008290995,-0.09272837
2023-11-28,0.106549256,0.027752422,0.04985331,0.03927046,0.06633362,-0.019992247,0.008907184,0.052640893,-0.066228315,-0.026846051
2023-11-29,0.114268385,0.03897441,0.12910527,-0.15361246,0.029833384,-0.014595434,0.007164359,-0.03969074,0.079678036,-0.034615144
2023-11-30,0.15170474,0.0031551644,-0.01938235,0.02593264,0.048157886,0.013994694,-0.004647553,0.025610622,-0.00031939056,-0.056083374
2023-12-01,0.20976186,0.02121701,0.021233968,0.06414279,0.015311003,-0.095779106,0.08479892,-0.0155209685,0.014876173,-0.099929765
2023-12-04,0.10461499,-0.020218395,0.05653786,0.11576018,0.03963445,-0.060891643,-0.053663746,-0.0045156414,-0.028179929,-0.15450212
2023-12-05,0.1309394,0.04259602,0.14622453,0.0035390854,0.02315557,-0.090291575,-0.01831457,-0.025702111,0.028440356,-0.10601498
2023-12-06,0.09100301,0.07158398,0.19395685,-0.13049087,0.02627872,-0.083786264,0.023268104,-0.024795465,0.0066220807,-0.08439074
2023-12-07,0.06528214,0.032953076,0.1552349,-0.063706204,-0.013040036,-0.11837296,0.013007402,-0.09534558,0.06980406,-0.017063022
2023-12-08,0.0444569,0.026323624,0.07292587,-0.02591896,0.122676164,0.027182236,-0.0616903,-0.022346817,-0.004518271,-0.07314125
2023-12-11,0.18486938,0.17258912,0.053214602,-0.09646958,-0.08002588,-0.005273953,0.028144531,-0.09093855,0.049744926,0.057150796
2023-12-12,0.15137213,-0.058072053,-0.012040861,0.071443796,0.074414104,0.009129435,-0.017634287,0.052673392,-0.015895251,-0.07188862
2023-12-13,0.11774,0.0839831,0.03903065,0.06865817,0.029650047,-0.030643955,-0.08196536,-0.077600524,0.008205368,-0.066491865
2023-12-14,0.10903738,0.17301702,0.13952354,-0.1453036,-0.07740906,-0.07319282,0.044677116,-0.09037518,0.04050082,0.04535465
2023-12-15,0.045003735,0.10537153,0.07241142,-0.020357013,-0.006424874,-0.09152453,0.04295394,-0.09168532,0.04096151,0.023930535
2023-12-18,0.114425845,0.1262892,0.015286587,0.024552345,0.07836613,0.037434056,0.04753697,-0.048086092,0.021116387,-0.01872918
2023-12-19,-0.009846799,0.093895115,0.1589995,-0.0089380145,0.009018883,-0.004090503,-0.075685546,-0.048661985,0.028827429,-0.027656123
2023-12-20,0.1459739,-0.012751408,0.0013563111,-0.02688697,-0.014680937,0.0018215626,-0.009898469,-0.06676485,0.06350779,-0.045249827
2023-12-21,0.04833118,0.031776704,0.15972072,-0.11215308,0.028429449,-0.04773204,0.020654112,-0.030745603,0.061754037,-0.05458247
2023-12-22,0.028465256,0.07465289,0.085719615,-0.044500858,-0.0013873875,-0.03553103,-0.016650394,-0.023357265,0.0026171682,0.051870883
2023-12-26,0.04063096,0.0096221045,0.07242562,-0.057932556,0.016216353,-0.0200468,0.067904525,-0.022874452,0.01589625,0.042727426
2023-12-27,0.14105493,0.027160391,-0.015780099,-0.018039048,0.035283208,0.043590665,0.009036109,-0.016220365,0.04075133,-0.03371264
2023-12-28,0.15231201,0.12205721,0.0034043714,-0.044827253,0.031170323,0.03986974,-0.053645656,-0.0668257,0.037220336,-0.04712215
2023-12-29,0.10346816,0.093600415,0.09183877,-0.092360854,0.0927695,0.013023123,-0.06046714,-0.029326715,-0.021114487,-0.08528854
